   3.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   1.14382      0.658199       1.00820      0.654267       1.00745      0.393222E-02  0.746700E-03   1.66172      0.589754      0.589503      0.417950      0.645124E-01   0.00000       0.00000    
  0.109648E-03   1.28834      0.652107      0.997855      0.647887      0.997043      0.422058E-02  0.812195E-03   1.64493      0.583556      0.583284      0.413758      0.643306E-01   0.00000       0.00000    
  0.120226E-03   1.42111      0.645982      0.987501      0.641438      0.986613      0.454386E-02  0.887417E-03   1.62805      0.577369      0.577074      0.409540      0.640699E-01   0.00000       0.00000    
  0.131825E-03   1.54932      0.639850      0.977147      0.634966      0.976180      0.488336E-02  0.967284E-03   1.61115      0.571187      0.570868      0.405312      0.637790E-01   0.00000       0.00000    
  0.144543E-03   1.67097      0.633706      0.966795      0.628460      0.965741      0.524611E-02  0.105380E-02   1.59420      0.565015      0.564669      0.401071      0.634450E-01   0.00000       0.00000    
  0.158489E-03   1.78411      0.627560      0.956452      0.621915      0.955301      0.564491E-02  0.115091E-02   1.57722      0.558859      0.558484      0.396817      0.630561E-01   0.00000       0.00000    
  0.173779E-03   1.89317      0.621415      0.946117      0.615352      0.944863      0.606273E-02  0.125370E-02   1.56022      0.552711      0.552306      0.392557      0.626412E-01   0.00000       0.00000    
  0.190545E-03   1.99455      0.615279      0.935799      0.608760      0.934431      0.651941E-02  0.136822E-02   1.54319      0.546582      0.546144      0.388287      0.621777E-01   0.00000       0.00000    
  0.208928E-03   2.09020      0.609160      0.925501      0.602149      0.924007      0.701064E-02  0.149345E-02   1.52616      0.540470      0.539995      0.384012      0.616790E-01   0.00000       0.00000    
  0.229085E-03   2.18214      0.603051      0.915215      0.595526      0.913590      0.752447E-02  0.162570E-02   1.50912      0.534369      0.533856      0.379734      0.611576E-01   0.00000       0.00000    
  0.251186E-03   2.26562      0.596982      0.904969      0.588883      0.903192      0.809926E-02  0.177739E-02   1.49207      0.528297      0.527741      0.375451      0.605855E-01   0.00000       0.00000    
  0.275420E-03   2.34563      0.590937      0.894744      0.582233      0.892805      0.870391E-02  0.193887E-02   1.47504      0.522240      0.521637      0.371168      0.599932E-01   0.00000       0.00000    
  0.301992E-03   2.42097      0.584923      0.884547      0.575574      0.882433      0.934868E-02  0.211349E-02   1.45801      0.516201      0.515550      0.366884      0.593737E-01   0.00000       0.00000    
