   100.000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   33.6200       2.72666       3.61755       2.71803       3.61498      0.862851E-02  0.256729E-02   6.33302       1.60808       1.60755       1.44512       1.10996      0.562309       0.00000    
  0.109648E-03   32.7990       2.66951       3.54000       2.66031       3.53724      0.919754E-02  0.275512E-02   6.19755       1.57632       1.57576       1.41527       1.08399      0.546212       0.00000    
  0.120226E-03   31.9951       2.61335       3.46390       2.60352       3.46093      0.982744E-02  0.296583E-02   6.06445       1.54507       1.54446       1.38589       1.05845      0.530580       0.00000    
  0.131825E-03   31.1983       2.55761       3.38842       2.54713       3.38524      0.104852E-01  0.318719E-02   5.93236       1.51403       1.51338       1.35672       1.03309      0.515141       0.00000    
  0.144543E-03   30.4119       2.50249       3.31384       2.49131       3.31041      0.111830E-01  0.342381E-02   5.80172       1.48331       1.48260       1.32783       1.00800      0.499976       0.00000    
  0.158489E-03   29.6401       2.44826       3.24051       2.43632       3.23682      0.119418E-01  0.368415E-02   5.67314       1.45303       1.45227       1.29936      0.983285      0.485191       0.00000    
  0.173779E-03   28.8756       2.39447       3.16781       2.38174       3.16385      0.127326E-01  0.395700E-02   5.54560       1.42298       1.42216       1.27110      0.958764      0.470593       0.00000    
  0.190545E-03   28.1254       2.34157       3.09635       2.32798       3.09209      0.135881E-01  0.425546E-02   5.42008       1.39336       1.39248       1.24326      0.934621      0.456357       0.00000    
  0.208928E-03   27.3867       2.28939       3.02588       2.27489       3.02130      0.145005E-01  0.457674E-02   5.29619       1.36410       1.36316       1.21574      0.910789      0.442405       0.00000    
  0.229085E-03   26.6555       2.23768       2.95606       2.22223       2.95115      0.154499E-01  0.491293E-02   5.17338       1.33507       1.33406       1.18845      0.887158      0.428637       0.00000    
  0.251186E-03   25.9425       2.18714       2.88782       2.17064       2.88253      0.164980E-01  0.528946E-02   5.05317       1.30662       1.30552       1.16169      0.864026      0.415313       0.00000    
  0.275420E-03   25.2375       2.13712       2.82028       2.11953       2.81459      0.175936E-01  0.568577E-02   4.93412       1.27841       1.27723       1.13518      0.841117      0.402181       0.00000    
  0.301992E-03   24.5433       2.08780       2.75368       2.06905       2.74757      0.187531E-01  0.610869E-02   4.81662       1.25054       1.24928       1.10898      0.818508      0.389305       0.00000    
  0.331127E-03   23.8647       2.03953       2.68844       2.01951       2.68187      0.200146E-01  0.657485E-02   4.70138       1.22317       1.22182       1.08325      0.796338      0.376797       0.00000    
  0.363073E-03   23.1938       1.99176       2.62387       1.97043       2.61681      0.213286E-01  0.706350E-02   4.58724       1.19604       1.19459       1.05776      0.774384      0.364466       0.00000    
  0.398101E-03   22.5373       1.94496       2.56057       1.92222       2.55298      0.227465E-01  0.759705E-02   4.47519       1.16938       1.16781       1.03270      0.752842      0.352470       0.00000    
  0.436509E-03   21.8929       1.89899       2.49833       1.87473       2.49015      0.242593E-01  0.817239E-02   4.36489       1.14309       1.14141       1.00800      0.731644      0.340747       0.00000    
  0.478622E-03   21.2561       1.85354       2.43675       1.82771       2.42797      0.258328E-01  0.877451E-02   4.25569       1.11705       1.11525      0.983530      0.710664      0.329196       0.00000    
  0.524798E-03   20.6373       1.80936       2.37676       1.78179       2.36731      0.275642E-01  0.944753E-02   4.14911       1.09158       1.08965      0.959612      0.690208      0.318052       0.00000    
  0.575429E-03   20.0268       1.76576       2.31751       1.73638       2.30735      0.293755E-01  0.101571E-01   4.04373       1.06639       1.06431      0.935946      0.669994      0.307091       0.00000    
  0.630945E-03   19.4268       1.72290       2.25917       1.69161       2.24826      0.312877E-01  0.109129E-01   3.93987       1.04153       1.03930      0.912599      0.650085      0.296362       0.00000    
  0.691816E-03   18.8424       1.68117       2.20224       1.64781       2.19049      0.333678E-01  0.117471E-01   3.83829       1.01717       1.01478      0.889732      0.630639      0.285976       0.00000    
  0.758561E-03   18.2655       1.64000       2.14596       1.60446       2.13334      0.355328E-01  0.126216E-01   3.73780      0.993049      0.990493      0.867092      0.611413      0.275752       0.00000    
  0.831745E-03   17.7024       1.59984       2.09091       1.56197       2.07734      0.378619E-01  0.135743E-01   3.63931      0.969377      0.966636      0.844875      0.592598      0.265828       0.00000    
  0.911989E-03   17.1512       1.56057       2.03693       1.52022       2.02233      0.403469E-01  0.146029E-01   3.54255      0.946086      0.943148      0.823021      0.574137      0.256157       0.00000    
  0.999975E-03   16.6073       1.52186       1.98360       1.47893       1.96792      0.429296E-01  0.156794E-01   3.44685      0.923030      0.919887      0.801391      0.555896      0.246644       0.00000    
  0.109645E-02   16.0804       1.48445       1.93180       1.43869       1.91492      0.457606E-01  0.168794E-01   3.35361      0.900521      0.897151      0.780281      0.538167      0.237491       0.00000    
  0.120223E-02   15.5616       1.44768       1.88074       1.39896       1.86259      0.487230E-01  0.181462E-01   3.26155      0.878272      0.874665      0.759418      0.520684      0.228509       0.00000    
  0.131822E-02   15.0525       1.41167       1.83054       1.35982       1.81105      0.518412E-01  0.194924E-01   3.17087      0.856331      0.852474      0.738848      0.503493      0.219728       0.00000    
  0.144540E-02   14.5584       1.37686       1.78171       1.32163       1.76074      0.552298E-01  0.209793E-01   3.08237      0.834871      0.830740      0.718735      0.486760      0.211260       0.00000    
  0.158485E-02   14.0713       1.34263       1.73352       1.28387       1.71099      0.587526E-01  0.225371E-01   2.99486      0.813632      0.809216      0.698832      0.470240      0.202937       0.00000    
  0.173775E-02   13.5969       1.30943       1.68649       1.24690       1.66226      0.625279E-01  0.242293E-01   2.90916      0.792795      0.788073      0.679312      0.454109      0.194874       0.00000    
  0.190540E-02   13.1337       1.27719       1.64049       1.21064       1.61443      0.665524E-01  0.260575E-01   2.82507      0.772313      0.767264      0.660129      0.438324      0.187041       0.00000    
  0.208923E-02   12.6773       1.24552       1.59512       1.17479       1.56715      0.707298E-01  0.279693E-01   2.74194      0.752045      0.746655      0.641149      0.422748      0.179347       0.00000    
  0.229079E-02   12.2363       1.21519       1.55118       1.13991       1.52109      0.752855E-01  0.300925E-01   2.66100      0.732259      0.726496      0.622627      0.407650      0.171965       0.00000    
  0.251180E-02   11.8030       1.18555       1.50796       1.10550       1.47563      0.800498E-01  0.323350E-01   2.58113      0.712710      0.706557      0.604331      0.392791      0.164737       0.00000    
  0.275413E-02   11.3783       1.15667       1.46554       1.07162       1.43083      0.850468E-01  0.347108E-01   2.50245      0.693426      0.686863      0.586286      0.378198      0.157682       0.00000    
  0.301984E-02   10.9675       1.12907       1.42444       1.03861       1.38711      0.904623E-01  0.373323E-01   2.42572      0.674566      0.667559      0.568646      0.364040      0.150904       0.00000    
  0.331118E-02   10.5630       1.10206       1.38394       1.00598       1.34387      0.960812E-01  0.400754E-01   2.34984      0.655897      0.648429      0.551187      0.350080      0.144251       0.00000    
  0.363064E-02   10.1697       1.07611       1.34452      0.974038       1.30147      0.102072      0.430427E-01   2.27551      0.637565      0.629604      0.534048      0.336473      0.137821       0.00000    
  0.398091E-02   9.78672       1.05117       1.30609      0.942730       1.25985      0.108442      0.462445E-01   2.20258      0.619539      0.611053      0.517201      0.323191      0.131594       0.00000    
  0.436498E-02   9.40982       1.02683       1.26826      0.911793       1.21867      0.115039      0.495878E-01   2.13047      0.601691      0.592663      0.500523      0.310102      0.125487       0.00000    
  0.478610E-02   9.04644       1.00386       1.23176      0.881678       1.17848      0.122182      0.532779E-01   2.06016      0.584235      0.574619      0.484220      0.297443      0.119644       0.00000    
  0.524785E-02   8.69007      0.981619       1.19597      0.851985       1.13879      0.129635      0.571711E-01   1.99078      0.566977      0.556748      0.468107      0.285008      0.113939       0.00000    
  0.575415E-02   8.34107      0.960149       1.16091      0.822735       1.09963      0.137413      0.612774E-01   1.92237      0.549927      0.539060      0.452193      0.272808      0.108377       0.00000    
  0.630929E-02   8.00451      0.940025       1.12712      0.794230       1.06133      0.145795      0.657896E-01   1.85556      0.533221      0.521667      0.436609      0.261009      0.103058       0.00000    
  0.691799E-02   7.67346      0.920512       1.09391      0.766052       1.02342      0.154460      0.704973E-01   1.78947      0.516663      0.504401      0.421169      0.249389      0.978455E-01   0.00000    
  0.758542E-02   7.35197      0.902070       1.06170      0.738441      0.986147      0.163629      0.755550E-01   1.72459      0.500361      0.487351      0.405977      0.238081      0.928190E-01   0.00000    
  0.831724E-02   7.03965      0.884690       1.03047      0.711368      0.949487      0.173322      0.809870E-01   1.66086      0.484295      0.470500      0.391017      0.227073      0.879703E-01   0.00000    
  0.911966E-02   6.73210      0.867887      0.999772      0.684575      0.913139      0.183312      0.866331E-01   1.59771      0.468352      0.453748      0.376176      0.216223      0.832149E-01   0.00000    
  0.999950E-02   6.43181      0.852136      0.969965      0.658203      0.877223      0.193933      0.927416E-01   1.53543      0.452577      0.437120      0.361501      0.205625      0.786032E-01   0.00000    
  0.109642E-01   6.13861      0.837140      0.940894      0.632242      0.841783      0.204898      0.991114E-01   1.47402      0.436983      0.420648      0.347007      0.195259      0.741280E-01   0.00000    
  0.120220E-01   5.85667      0.823420      0.913040      0.606931      0.807077      0.216489      0.105962       1.41401      0.421666      0.404412      0.332794      0.185265      0.698705E-01   0.00000    
  0.131819E-01   5.58250      0.810684      0.886094      0.582066      0.772856      0.228618      0.113238       1.35492      0.406527      0.388322      0.318768      0.175538      0.657654E-01   0.00000    
  0.144536E-01   5.31584      0.798913      0.860043      0.557631      0.739099      0.241282      0.120945       1.29673      0.391557      0.372370      0.304921      0.166073      0.618082E-01   0.00000    
  0.158481E-01   5.05599      0.788026      0.834821      0.533584      0.705760      0.254442      0.129061       1.23934      0.376735      0.356540      0.291235      0.156849      0.579856E-01   0.00000    
  0.173770E-01   4.80281      0.778012      0.810424      0.509919      0.672832      0.268093      0.137592       1.18275      0.362055      0.340829      0.277708      0.147863      0.542956E-01   0.00000    
  0.190535E-01   4.55677      0.768936      0.786928      0.486662      0.640347      0.282274      0.146581       1.12701      0.347523      0.325245      0.264354      0.139139      0.507485E-01   0.00000    
  0.208917E-01   4.31755      0.760754      0.764305      0.463797      0.608290      0.296958      0.156015       1.07209      0.333128      0.309785      0.251166      0.130668      0.473388E-01   0.00000    
  0.229073E-01   4.08456      0.753383      0.742491      0.441292      0.576633      0.312091      0.165858       1.01792      0.318858      0.294441      0.238136      0.122434      0.440556E-01   0.00000    
  0.251174E-01   3.85767      0.746795      0.721476      0.419145      0.545378      0.327650      0.176098      0.964523      0.304707      0.279217      0.225264      0.114437      0.408973E-01   0.00000    
  0.275406E-01   3.63737      0.741032      0.701330      0.397388      0.514577      0.343644      0.186753      0.911965      0.290686      0.264130      0.212572      0.106703      0.378749E-01   0.00000    
  0.301976E-01   3.42333      0.736021      0.682003      0.376009      0.484227      0.360012      0.197775      0.860236      0.276787      0.249185      0.200060      0.992222E-01  0.349824E-01   0.00000    
  0.331110E-01   3.21506      0.731669      0.663425      0.354985      0.454320      0.376684      0.209105      0.809305      0.263003      0.234384      0.187725      0.919828E-01  0.322105E-01   0.00000    
  0.363055E-01   3.01250      0.727928      0.645570      0.334322      0.424875      0.393606      0.220695      0.759197      0.249335      0.219740      0.175577      0.849866E-01  0.295582E-01   0.00000    
  0.398081E-01   2.81619      0.724795      0.628478      0.314065      0.395978      0.410730      0.232500      0.710042      0.235801      0.205290      0.163650      0.782636E-01  0.270377E-01   0.00000    
  0.436487E-01   2.62582      0.722166      0.612065      0.294205      0.367642      0.427961      0.244423      0.661847      0.222400      0.191049      0.151951      0.718053E-01  0.246421E-01   0.00000    
  0.478598E-01   2.44104      0.719937      0.596242      0.274733      0.339878      0.445204      0.256364      0.614612      0.209133      0.177029      0.140486      0.656010E-01  0.223636E-01   0.00000    
  0.524772E-01   2.26185      0.718028      0.580947      0.255663      0.312732      0.462365      0.268215      0.568395      0.196008      0.163257      0.129273      0.596548E-01  0.202019E-01   0.00000    
  0.575400E-01   2.08894      0.716367      0.566151      0.237061      0.286339      0.479305      0.279812      0.523400      0.183059      0.149800      0.118369      0.540020E-01  0.181697E-01   0.00000    
  0.630913E-01   1.92202      0.714821      0.551720      0.218925      0.260723      0.495896      0.290998      0.479647      0.170293      0.136678      0.107786      0.486315E-01  0.162590E-01   0.00000    
  0.691782E-01   1.76088      0.713270      0.537528      0.201254      0.235912      0.512017      0.301616      0.437166      0.157720      0.123915      0.975335E-01  0.435340E-01  0.144633E-01   0.00000    
  0.758523E-01   1.60563      0.711594      0.523455      0.184074      0.211975      0.527520      0.311480      0.396049      0.145360      0.111552      0.876417E-01  0.387140E-01  0.127818E-01   0.00000    
  0.831703E-01   1.45713      0.709610      0.509342      0.167482      0.189107      0.542128      0.320235      0.356589      0.133271      0.996884E-01  0.781912E-01  0.342106E-01  0.112277E-01   0.00000    
  0.911943E-01   1.31511      0.707164      0.495009      0.151474      0.167323      0.555690      0.327686      0.318797      0.121467      0.883437E-01  0.691885E-01  0.300066E-01  0.979114E-02   0.00000    
  0.999925E-01   1.17841      0.704134      0.480281      0.135975      0.146525      0.568159      0.333756      0.282500      0.109921      0.774821E-01  0.605934E-01  0.260537E-01  0.844932E-02   0.00000    
