   4.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.251180E-02   3.99404      0.534728      0.723218      0.482666      0.705516      0.520624E-01  0.177019E-01   1.18818      0.411771      0.407633      0.297883      0.708951E-01   0.00000       0.00000    
  0.275413E-02   3.96303      0.530309      0.713005      0.474543      0.693750      0.557655E-01  0.192557E-01   1.16829      0.405409      0.400955      0.292794      0.691341E-01   0.00000       0.00000    
  0.301984E-02   3.92974      0.526278      0.702959      0.466440      0.681952      0.598378E-01  0.210070E-01   1.14839      0.399062      0.394259      0.287693      0.673779E-01   0.00000       0.00000    
  0.331118E-02   3.89543      0.522437      0.692994      0.458344      0.670136      0.640923E-01  0.228580E-01   1.12848      0.392720      0.387550      0.282586      0.656244E-01   0.00000       0.00000    
  0.363064E-02   3.85934      0.518944      0.683177      0.450261      0.658282      0.686826E-01  0.248943E-01   1.10854      0.386385      0.380819      0.277464      0.638763E-01   0.00000       0.00000    
  0.398091E-02   3.82165      0.515808      0.673510      0.442185      0.646380      0.736231E-01  0.271301E-01   1.08857      0.380051      0.374057      0.272323      0.621344E-01   0.00000       0.00000    
  0.436498E-02   3.78302      0.512889      0.663934      0.434114      0.634447      0.787749E-01  0.294871E-01   1.06856      0.373717      0.367276      0.267171      0.603963E-01   0.00000       0.00000    
  0.478610E-02   3.74232      0.510489      0.654577      0.426045      0.622429      0.844436E-01  0.321483E-01   1.04847      0.367378      0.360443      0.261986      0.586678E-01   0.00000       0.00000    
  0.524785E-02   3.70056      0.508390      0.645346      0.417975      0.610353      0.904147E-01  0.349934E-01   1.02833      0.361030      0.353574      0.256779      0.569451E-01   0.00000       0.00000    
  0.575415E-02   3.65767      0.506605      0.636248      0.409901      0.598217      0.967031E-01  0.380313E-01   1.00812      0.354673      0.346668      0.251549      0.552284E-01   0.00000       0.00000    
  0.630929E-02   3.61286      0.505410      0.627401      0.401814      0.585952      0.103595      0.414489E-01  0.987767      0.348291      0.339683      0.246270      0.535231E-01   0.00000       0.00000    
  0.691799E-02   3.56718      0.504496      0.618675      0.393717      0.573621      0.110779      0.450542E-01  0.967338      0.341894      0.332656      0.240965      0.518232E-01   0.00000       0.00000    
  0.758542E-02   3.51998      0.504084      0.610165      0.385601      0.561167      0.118483      0.489984E-01  0.946767      0.335468      0.325555      0.235612      0.501329E-01   0.00000       0.00000    
  0.831724E-02   3.47127      0.504201      0.601888      0.377455      0.548570      0.126746      0.533188E-01  0.926025      0.329003      0.318365      0.230204      0.484525E-01   0.00000       0.00000    
  0.911966E-02   3.42168      0.504627      0.593748      0.369292      0.535887      0.135336      0.578611E-01  0.905179      0.322514      0.311124      0.224763      0.467777E-01   0.00000       0.00000    
  0.999950E-02   3.37011      0.505753      0.585921      0.361074      0.522993      0.144679      0.629280E-01  0.884067      0.315961      0.303753      0.219239      0.451130E-01   0.00000       0.00000    
  0.109642E-01   3.31765      0.507214      0.578250      0.352833      0.509997      0.154382      0.682533E-01  0.862830      0.309377      0.296321      0.213676      0.434559E-01   0.00000       0.00000    
  0.120220E-01   3.26347      0.509314      0.570882      0.344538      0.496800      0.164776      0.740827E-01  0.841338      0.302726      0.288765      0.208035      0.418118E-01   0.00000       0.00000    
  0.131819E-01   3.20767      0.512001      0.563798      0.336185      0.483404      0.175815      0.803948E-01  0.819589      0.296007      0.281088      0.202316      0.401781E-01   0.00000       0.00000    
  0.144536E-01   3.15021      0.515283      0.557012      0.327767      0.469797      0.187516      0.872147E-01  0.797564      0.289212      0.273282      0.196515      0.385551E-01   0.00000       0.00000    
  0.158481E-01   3.09114      0.519132      0.550515      0.319281      0.455982      0.199851      0.945332E-01  0.775263      0.282339      0.265350      0.190633      0.369421E-01   0.00000       0.00000    
  0.173770E-01   3.03038      0.523556      0.544324      0.310720      0.441949      0.212836      0.102375      0.752669      0.275380      0.257284      0.184665      0.353396E-01   0.00000       0.00000    
  0.190535E-01   2.96766      0.528621      0.538484      0.302069      0.427664      0.226552      0.110819      0.729733      0.268320      0.249065      0.178599      0.337490E-01   0.00000       0.00000    
  0.208917E-01   2.90294      0.534317      0.533003      0.293321      0.413123      0.240995      0.119879      0.706444      0.261150      0.240690      0.172433      0.321707E-01   0.00000       0.00000    
  0.229073E-01   2.83623      0.540603      0.527871      0.284476      0.398336      0.256126      0.129535      0.682812      0.253872      0.232165      0.166170      0.306044E-01   0.00000       0.00000    
  0.251174E-01   2.76744      0.547476      0.523100      0.275528      0.383296      0.271948      0.139804      0.658825      0.246477      0.223486      0.159810      0.290508E-01   0.00000       0.00000    
  0.275406E-01   2.69623      0.554988      0.518739      0.266458      0.367976      0.288530      0.150763      0.634435      0.238946      0.214636      0.153340      0.275124E-01   0.00000       0.00000    
  0.301976E-01   2.62256      0.563101      0.514783      0.257265      0.352386      0.305836      0.162396      0.609651      0.231275      0.205620      0.146766      0.259898E-01   0.00000       0.00000    
  0.331110E-01   2.54647      0.571757      0.511209      0.247949      0.336546      0.323808      0.174662      0.584496      0.223466      0.196452      0.140095      0.244835E-01   0.00000       0.00000    
  0.363055E-01   2.46788      0.580931      0.508016      0.238508      0.320465      0.342423      0.187551      0.558974      0.215513      0.187134      0.133331      0.229949E-01   0.00000       0.00000    
  0.398081E-01   2.38640      0.590639      0.505237      0.228924      0.304133      0.361715      0.201104      0.533058      0.207396      0.177662      0.126471      0.215279E-01   0.00000       0.00000    
  0.436487E-01   2.30209      0.600808      0.502834      0.219203      0.287584      0.381605      0.215250      0.506787      0.199119      0.168054      0.119530      0.200840E-01   0.00000       0.00000    
  0.478598E-01   2.21505      0.611359      0.500758      0.209352      0.270856      0.402007      0.229903      0.480207      0.190687      0.158334      0.112522      0.186642E-01   0.00000       0.00000    
  0.524772E-01   2.12527      0.622234      0.498973      0.199373      0.253981      0.422861      0.244992      0.453355      0.182102      0.148520      0.105461      0.172709E-01   0.00000       0.00000    
  0.575400E-01   2.03244      0.633387      0.497447      0.189258      0.236994      0.444129      0.260454      0.426252      0.173348      0.138631      0.983624E-01  0.159107E-01   0.00000       0.00000    
  0.630913E-01   1.93680      0.644710      0.496084      0.179024      0.219956      0.465686      0.276128      0.398980      0.164439      0.128705      0.912511E-01  0.145851E-01   0.00000       0.00000    
  0.691782E-01   1.83859      0.656101      0.494780      0.168689      0.202931      0.487412      0.291850      0.371619      0.155393      0.118778      0.841529E-01  0.132958E-01   0.00000       0.00000    
  0.758523E-01   1.73798      0.667462      0.493425      0.158266      0.185985      0.509196      0.307440      0.344250      0.146219      0.108890      0.770951E-01  0.120462E-01   0.00000       0.00000    
  0.831703E-01   1.63493      0.678650      0.491837      0.147768      0.169221      0.530882      0.322615      0.316989      0.136922      0.991002E-01  0.701211E-01  0.108457E-01   0.00000       0.00000    
  0.911943E-01   1.52993      0.689532      0.489835      0.137228      0.152727      0.552304      0.337108      0.289955      0.127533      0.894612E-01  0.632659E-01  0.969522E-02   0.00000       0.00000    
  0.999925E-01   1.42340      0.699988      0.487243      0.126672      0.136572      0.573317      0.350671      0.263243      0.118079      0.800148E-01  0.565569E-01  0.859301E-02   0.00000       0.00000    
  0.109639       1.31582      0.709849      0.483820      0.116142      0.120870      0.593707      0.362950      0.237012      0.108595      0.708283E-01  0.500420E-01  0.754719E-02   0.00000       0.00000    
  0.120217       1.20766      0.718819      0.479143      0.105690      0.105805      0.613129      0.373338      0.211495      0.991212E-01  0.620083E-01  0.437965E-01  0.656875E-02   0.00000       0.00000    
  0.131815       1.09961      0.726731      0.472988      0.953597E-01  0.914363E-01  0.631371      0.381552      0.186796      0.897054E-01  0.535922E-01  0.378441E-01  0.565425E-02   0.00000       0.00000    
  0.144533      0.992396      0.733230      0.464918      0.852181E-01  0.779180E-01  0.648012      0.387000      0.163136      0.804082E-01  0.456706E-01  0.322474E-01  0.480990E-02   0.00000       0.00000    
  0.158477      0.886747      0.738025      0.454647      0.753213E-01  0.653216E-01  0.662704      0.389325      0.140643      0.712862E-01  0.382867E-01  0.270350E-01  0.403515E-02   0.00000       0.00000    
  0.173766      0.783605      0.740555      0.441670      0.657570E-01  0.537977E-01  0.674798      0.387873      0.119555      0.624216E-01  0.315293E-01  0.222684E-01  0.333544E-02   0.00000       0.00000    
  0.190530      0.683708      0.740362      0.425758      0.565857E-01  0.433794E-01  0.683777      0.382378      0.999651E-01  0.538774E-01  0.254192E-01  0.179602E-01  0.270837E-02   0.00000       0.00000    
  0.208912      0.588165      0.736545      0.406418      0.479134E-01  0.341910E-01  0.688632      0.372226      0.821044E-01  0.457555E-01  0.200297E-01  0.141613E-01  0.215797E-02   0.00000       0.00000    
  0.229067      0.497646      0.728404      0.383581      0.397964E-01  0.262071E-01  0.688607      0.357374      0.660035E-01  0.381168E-01  0.153469E-01  0.108603E-01  0.167963E-02   0.00000       0.00000    
  0.251167      0.413353      0.714559      0.356924      0.323500E-01  0.194995E-01  0.682209      0.337425      0.518495E-01  0.310747E-01  0.114131E-01  0.808636E-02  0.127533E-02   0.00000       0.00000    
  0.275399      0.335769      0.694078      0.326694      0.256118E-01  0.139709E-01  0.668466      0.312724      0.395827E-01  0.246737E-01  0.817175E-02  0.579914E-02  0.938088E-03   0.00000       0.00000    
  0.301969      0.266061      0.665130      0.292963      0.196888E-01  0.962062E-02  0.645441      0.283342      0.293094E-01  0.190215E-01  0.562245E-02  0.399817E-02  0.667301E-03   0.00000       0.00000    
  0.331102      0.204379      0.626852      0.256450      0.145796E-01  0.628388E-02  0.612273      0.250166      0.208635E-01  0.141257E-01  0.366838E-02  0.261550E-02  0.453870E-03   0.00000       0.00000    
  0.363046      0.151656      0.577492      0.217872      0.103566E-01  0.388625E-02  0.567135      0.213986      0.142429E-01  0.100622E-01  0.226563E-02  0.162062E-02  0.294463E-03   0.00000       0.00000    
  0.398071      0.107543      0.517152      0.178488      0.695972E-02  0.222420E-02  0.510192      0.176264      0.918391E-02  0.678105E-02  0.129442E-02  0.929776E-03  0.178664E-03   0.00000       0.00000    
  0.436476      0.722323E-01  0.445802      0.139709      0.438040E-02  0.116586E-02  0.441421      0.138543      0.554626E-02  0.428047E-02  0.677106E-03  0.488755E-03  0.999315E-04   0.00000       0.00000    
  0.478586      0.454160E-01  0.365492      0.103273      0.254112E-02  0.548535E-03  0.362950      0.102724      0.308966E-02  0.249036E-02  0.317752E-03  0.230782E-03  0.507582E-04   0.00000       0.00000    
  0.524759      0.261923E-01  0.280238      0.708953E-01  0.132526E-02  0.223859E-03  0.278913      0.706715E-01  0.154912E-02  0.130272E-02  0.129278E-03  0.945813E-04  0.225393E-04   0.00000       0.00000    
  0.575386      0.134724E-01  0.196064      0.441120E-01  0.599939E-03  0.754848E-04  0.195465      0.440365E-01  0.675424E-03  0.591659E-03  0.434472E-04  0.320376E-04  0.828071E-05   0.00000       0.00000    
  0.630897      0.591732E-02  0.120515      0.239593E-01  0.223249E-03  0.193823E-04  0.120292      0.239399E-01  0.242632E-03  0.220981E-03  0.111286E-04  0.825372E-05  0.226808E-05   0.00000       0.00000    
  0.691764      0.206332E-02  0.611059E-01  0.106681E-01  0.623286E-04  0.321472E-05  0.610436E-01  0.106649E-01  0.655434E-04  0.619753E-04  0.185298E-05  0.136174E-05  0.353394E-06   0.00000       0.00000    
  0.758504      0.495009E-03  0.226912E-01  0.345552E-02  0.109449E-04  0.195882E-06  0.226802E-01  0.345533E-02  0.111408E-04  0.109535E-04  0.120390E-06  0.754914E-07  -.850464E-08   0.00000       0.00000    
  0.831682      0.606096E-04  0.475109E-02  0.626937E-03  0.826511E-06  -.167164E-07  0.475027E-02  0.626954E-03  0.809795E-06  0.836345E-06  -.769401E-08  -.902244E-08  -.983327E-08   0.00000       0.00000    
  0.911920      0.142361E-05  0.242944E-03  0.274955E-04  0.773362E-08  -.773442E-09  0.242936E-03  0.274962E-04  0.696017E-08  0.807007E-08  -.385484E-09  -.387957E-09  -.336459E-09   0.00000       0.00000    
  0.999900      0.556389E-13  0.512813E-10  0.484955E-11  -.103264E-16  -.214857E-16  0.512813E-10  0.484957E-11  -.318120E-16  -.940737E-18  -.107428E-16  -.107428E-16  -.938564E-17   0.00000       0.00000    
