   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   78.0595       5.95901       8.48912       5.94602       8.48473      0.129907E-01  0.439044E-02   14.4307       3.21308       3.21227       3.05590       2.73294       2.21656       0.00000    
  0.109648E-03   75.2561       5.77909       8.22707       5.76528       8.22238      0.138018E-01  0.469127E-02   13.9877       3.11989       3.11902       2.96455       2.64540       2.13880       0.00000    
  0.120226E-03   72.5778       5.60587       7.97499       5.59118       7.96997      0.146940E-01  0.502589E-02   13.5611       3.03004       3.02911       2.87652       2.56113       2.06434       0.00000    
  0.131825E-03   69.9496       5.43537       7.72695       5.41975       7.72158      0.156229E-01  0.537610E-02   13.1413       2.94155       2.94056       2.78983       2.47820       1.99119       0.00000    
  0.144543E-03   67.3933       5.26877       7.48469       5.25217       7.47894      0.166046E-01  0.574861E-02   12.7311       2.85501       2.85395       2.70506       2.39716       1.91994       0.00000    
  0.158489E-03   64.9330       5.10744       7.25021       5.08977       7.24406      0.176662E-01  0.615542E-02   12.3338       2.77109       2.76995       2.62289       2.31868       1.85122       0.00000    
  0.173779E-03   62.5194       4.94868       7.01954       4.92991       7.01296      0.187695E-01  0.658023E-02   11.9429       2.68845       2.68723       2.54198       2.24146       1.78374       0.00000    
  0.190545E-03   60.1949       4.79486       6.79615       4.77490       6.78910      0.199570E-01  0.704169E-02   11.5640       2.60827       2.60696       2.46351       2.16664       1.71863       0.00000    
  0.208928E-03   57.9386       4.64487       6.57837       4.62366       6.57084      0.212175E-01  0.753542E-02   11.1945       2.52999       2.52859       2.38692       2.09367       1.65533       0.00000    
  0.229085E-03   55.7265       4.49737       6.36425       4.47484       6.35620      0.225258E-01  0.805026E-02   10.8310       2.45293       2.45144       2.31155       2.02191       1.59321       0.00000    
  0.251186E-03   53.6179       4.35574       6.15872       4.33178       6.15009      0.239598E-01  0.862154E-02   10.4819       2.37879       2.37719       2.23905       1.95299       1.53386       0.00000    
  0.275420E-03   51.5530       4.21662       5.95683       4.19116       5.94761      0.254540E-01  0.922018E-02   10.1388       2.30588       2.30417       2.16777       1.88529       1.47568       0.00000    
  0.301992E-03   49.5466       4.08086       5.75986       4.05383       5.75000      0.270290E-01  0.985563E-02   9.80383       2.23463       2.23280       2.09814       1.81920       1.41907       0.00000    
  0.331127E-03   47.6219       3.94985       5.56977       3.92112       5.55922      0.287317E-01  0.105502E-01   9.48034       2.16571       2.16375       2.03081       1.75541       1.36465       0.00000    
  0.363073E-03   45.7361       3.82111       5.38297       3.79061       5.37169      0.304997E-01  0.112752E-01   9.16230       2.09791       2.09582       1.96459       1.69270       1.31129       0.00000    
  0.398101E-03   43.9230       3.69665       5.20235       3.66425       5.19029      0.323966E-01  0.120609E-01   8.85454       2.03220       2.02997       1.90044       1.63205       1.25988       0.00000    
  0.436509E-03   42.1678       3.57563       5.02670       3.54122       5.01379      0.344100E-01  0.129023E-01   8.55501       1.96818       1.96579       1.83795       1.57304       1.21005       0.00000    
  0.478622E-03   40.4493       3.45680       4.85418       3.42030       4.84040      0.364980E-01  0.137794E-01   8.26070       1.90522       1.90267       1.77652       1.51508       1.16121       0.00000    
  0.524798E-03   38.8151       3.34304       4.68893       3.30427       4.67418      0.387778E-01  0.147498E-01   7.97845       1.84472       1.84200       1.71752       1.45954       1.11466       0.00000    
  0.575429E-03   37.2181       3.23156       4.52693       3.19041       4.51116      0.411536E-01  0.157677E-01   7.70156       1.78532       1.78242       1.65961       1.40508       1.06913       0.00000    
  0.630945E-03   35.6681       3.12294       4.36900       3.07929       4.35216      0.436507E-01  0.168456E-01   7.43145       1.72731       1.72422       1.60307       1.35198       1.02488       0.00000    
  0.691816E-03   34.1865       3.01855       4.21707       2.97221       4.19905      0.463474E-01  0.180240E-01   7.17126       1.67133       1.66802       1.54853       1.30088      0.982494       0.00000    
  0.758561E-03   32.7367       2.91615       4.06794       2.86700       4.04869      0.491444E-01  0.192536E-01   6.91569       1.61630       1.61277       1.49493       1.25071      0.940984       0.00000    
  0.831745E-03   31.3452       2.81739       3.92397       2.76526       3.90338      0.521342E-01  0.205820E-01   6.66864       1.56301       1.55925       1.44306       1.20225      0.901076       0.00000    
  0.911989E-03   30.0023       2.72172       3.78430       2.66642       3.76230      0.553052E-01  0.220050E-01   6.42872       1.51118       1.50717       1.39262       1.15524      0.862502       0.00000    
  0.999975E-03   28.6893       2.62795       3.64730       2.56936       3.62381      0.585894E-01  0.234874E-01   6.19317       1.46024       1.45598       1.34308       1.10912      0.824751       0.00000    
  0.109645E-02   27.4437       2.53852       3.51635       2.47637       3.49123      0.621583E-01  0.251215E-01   5.96760       1.41135       1.40681       1.29555       1.06501      0.788863       0.00000    
  0.120223E-02   26.2295       2.45114       3.38823       2.38527       3.36139      0.658761E-01  0.268363E-01   5.74666       1.36342       1.35858       1.24897       1.02185      0.753842       0.00000    
  0.131822E-02   25.0523       2.36619       3.26346       2.29642       3.23482      0.697703E-01  0.286470E-01   5.53124       1.31661       1.31147       1.20350      0.979812      0.719849       0.00000    
  0.144540E-02   23.9315       2.28497       3.14383       2.21101       3.11320      0.739665E-01  0.306249E-01   5.32421       1.27152       1.26605       1.15973      0.939485      0.687421       0.00000    
