   10.0000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   10.8743       1.22661       1.56749       1.22089       1.56607      0.572019E-02  0.141615E-02   2.78697      0.867186      0.866835      0.699237      0.353708       0.00000       0.00000    
  0.109648E-03   10.8086       1.21141       1.54802       1.20529       1.54649      0.611848E-02  0.152814E-02   2.75178      0.856426      0.856047      0.690441      0.348864       0.00000       0.00000    
  0.120226E-03   10.7331       1.19604       1.52840       1.18948       1.52674      0.656224E-02  0.165506E-02   2.71622      0.845606      0.845196      0.681548      0.343875       0.00000       0.00000    
  0.131825E-03   10.6540       1.18063       1.50874       1.17360       1.50695      0.702699E-02  0.178902E-02   2.68055      0.834769      0.834327      0.672623      0.338834       0.00000       0.00000    
  0.144543E-03   10.5697       1.16515       1.48902       1.15763       1.48708      0.752181E-02  0.193305E-02   2.64471      0.823909      0.823431      0.663653      0.333718       0.00000       0.00000    
  0.158489E-03   10.4788       1.14961       1.46924       1.14154       1.46715      0.806294E-02  0.209291E-02   2.60869      0.813029      0.812512      0.654635      0.328515       0.00000       0.00000    
  0.173779E-03   10.3849       1.13405       1.44944       1.12542       1.44718      0.862839E-02  0.226120E-02   2.57260      0.802144      0.801586      0.645597      0.323273       0.00000       0.00000    
  0.190545E-03   10.2854       1.11846       1.42963       1.10922       1.42718      0.924342E-02  0.244679E-02   2.53639      0.791254      0.790651      0.636527      0.317962       0.00000       0.00000    
  0.208928E-03   10.1819       1.10288       1.40981       1.09298       1.40716      0.990219E-02  0.264798E-02   2.50013      0.780369      0.779718      0.627440      0.312607       0.00000       0.00000    
  0.229085E-03   10.0758       1.08730       1.38999       1.07671       1.38713      0.105896E-01  0.285939E-02   2.46384      0.769487      0.768786      0.618344      0.307223       0.00000       0.00000    
  0.251186E-03   9.96412       1.07177       1.37020       1.06041       1.36711      0.113536E-01  0.309872E-02   2.42752      0.758628      0.757870      0.609235      0.301784       0.00000       0.00000    
  0.275420E-03   9.85026       1.05627       1.35044       1.04411       1.34709      0.121549E-01  0.335192E-02   2.39120      0.747783      0.746965      0.600128      0.296328       0.00000       0.00000    
  0.301992E-03   9.73349       1.04081       1.33072       1.02781       1.32710      0.130063E-01  0.362377E-02   2.35490      0.736958      0.736077      0.591020      0.290849       0.00000       0.00000    
  0.331127E-03   9.61302       1.02546       1.31107       1.01152       1.30714      0.139382E-01  0.392630E-02   2.31866      0.726172      0.725220      0.581924      0.285346       0.00000       0.00000    
  0.363073E-03   9.49089       1.01015       1.29146      0.995242       1.28722      0.149119E-01  0.424493E-02   2.28246      0.715406      0.714380      0.572835      0.279836       0.00000       0.00000    
  0.398101E-03   9.36576      0.994966       1.27194      0.978997       1.26734      0.159685E-01  0.459583E-02   2.24634      0.704684      0.703576      0.563765      0.274314       0.00000       0.00000    
