   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   80.7077       6.16169       8.79421       6.14846       8.78971      0.132281E-01  0.449216E-02   14.9382       3.31387       3.31305       3.15696       2.83459       2.31970       0.00000    
  0.109648E-03   77.7718       5.97315       8.51921       5.95910       8.51441      0.140519E-01  0.479910E-02   14.4735       3.21636       3.21548       3.06130       2.74273       2.23763       0.00000    
  0.120226E-03   74.9693       5.79178       8.25489       5.77682       8.24975      0.149578E-01  0.514039E-02   14.0266       3.12244       3.12150       2.96918       2.65438       2.15907       0.00000    
  0.131825E-03   72.2202       5.61332       7.99488       5.59742       7.98938      0.159010E-01  0.549751E-02   13.5868       3.02997       3.02895       2.87850       2.56745       2.08192       0.00000    
  0.144543E-03   69.5477       5.43901       7.74104       5.42211       7.73516      0.168976E-01  0.587731E-02   13.1573       2.93957       2.93848       2.78988       2.48255       2.00680       0.00000    
  0.158489E-03   66.9773       5.27032       7.49550       5.25235       7.48921      0.179750E-01  0.629194E-02   12.7416       2.85196       2.85080       2.70402       2.40038       1.93439       0.00000    
  0.173779E-03   64.4565       5.10438       7.25402       5.08528       7.24729      0.190946E-01  0.672485E-02   12.3326       2.76572       2.76448       2.61951       2.31956       1.86330       0.00000    
  0.190545E-03   62.0304       4.94369       7.02030       4.92340       7.01310      0.202993E-01  0.719496E-02   11.9365       2.68210       2.68077       2.53760       2.24129       1.79473       0.00000    
  0.208928E-03   59.6768       4.78708       6.79256       4.76551       6.78486      0.215778E-01  0.769783E-02   11.5504       2.60050       2.59908       2.45769       2.16500       1.72810       0.00000    
  0.229085E-03   57.3701       4.63311       6.56870       4.61021       6.56048      0.229047E-01  0.822211E-02   11.1707       2.52021       2.51869       2.37907       2.09000       1.66272       0.00000    
  0.251186E-03   55.1732       4.48539       6.35399       4.46103       6.34518      0.243586E-01  0.880363E-02   10.8062       2.44301       2.44138       2.30351       2.01802       1.60029       0.00000    
  0.275420E-03   53.0224       4.34031       6.14315       4.31444       6.13374      0.258733E-01  0.941290E-02   10.4482       2.36711       2.36537       2.22925       1.94733       1.53911       0.00000    
  0.301992E-03   50.9338       4.19881       5.93752       4.17134       5.92746      0.274696E-01  0.100595E-01   10.0988       2.29298       2.29112       2.15673       1.87836       1.47960       0.00000    
  0.331127E-03   48.9316       4.06234       5.73920       4.03314       5.72843      0.291948E-01  0.107659E-01   9.76158       2.22133       2.21934       2.08667       1.81182       1.42243       0.00000    
  0.363073E-03   46.9705       3.92827       5.54437       3.89728       5.53287      0.309860E-01  0.115033E-01   9.43015       2.15085       2.14873       2.01777       1.74643       1.36637       0.00000    
  0.398101E-03   45.0862       3.79873       5.35609       3.76582       5.34379      0.329072E-01  0.123020E-01   9.10961       2.08259       2.08032       1.95106       1.68323       1.31240       0.00000    
  0.436509E-03   43.2632       3.67283       5.17307       3.63788       5.15991      0.349459E-01  0.131572E-01   8.79780       2.01612       2.01369       1.88612       1.62177       1.26010       0.00000    
  0.478622E-03   41.4789       3.54924       4.99337       3.51218       4.97933      0.370598E-01  0.140484E-01   8.49150       1.95077       1.94818       1.82229       1.56141       1.20885       0.00000    
  0.524798E-03   39.7834       3.43101       4.82137       3.39164       4.80634      0.393672E-01  0.150340E-01   8.19798       1.88802       1.88526       1.76105       1.50362       1.16003       0.00000    
  0.575429E-03   38.1273       3.31517       4.65279       3.27340       4.63672      0.417713E-01  0.160677E-01   7.91012       1.82643       1.82348       1.70094       1.44697       1.11229       0.00000    
  0.630945E-03   36.5206       3.20236       4.48853       3.15807       4.47137      0.442977E-01  0.171620E-01   7.62943       1.76631       1.76317       1.64229       1.39176       1.06591       0.00000    
  0.691816E-03   34.9860       3.09400       4.33059       3.04698       4.31224      0.470250E-01  0.183579E-01   7.35921       1.70833       1.70497       1.58575       1.33865       1.02151       0.00000    
  0.758561E-03   33.4849       2.98773       4.17561       2.93788       4.15601      0.498533E-01  0.196053E-01   7.09389       1.65135       1.64777       1.53020       1.28653      0.978037       0.00000    
  0.831745E-03   32.0451       2.88530       4.02607       2.83243       4.00512      0.528757E-01  0.209526E-01   6.83755       1.59620       1.59239       1.47647       1.23622      0.936257       0.00000    
  0.911989E-03   30.6564       2.78611       3.88108       2.73003       3.85869      0.560803E-01  0.223953E-01   6.58872       1.54260       1.53854       1.42426       1.18744      0.895891       0.00000    
  0.999975E-03   29.2990       2.68892       3.73889       2.62952       3.71499      0.593989E-01  0.238980E-01   6.34451       1.48993       1.48562       1.37298       1.13958      0.856394       0.00000    
  0.109645E-02   28.0125       2.59629       3.60308       2.53328       3.57753      0.630037E-01  0.255535E-01   6.11081       1.43942       1.43482       1.32384       1.09386      0.818868       0.00000    
  0.120223E-02   26.7588       2.50580       3.47024       2.43904       3.44295      0.667580E-01  0.272904E-01   5.88199       1.38991       1.38502       1.27568       1.04913      0.782258       0.00000    
  0.131822E-02   25.5440       2.41785       3.34093       2.34716       3.31181      0.706897E-01  0.291239E-01   5.65897       1.34159       1.33639       1.22869       1.00557      0.746734       0.00000    
