   5.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   4.90327      0.871741       1.21753      0.867020       1.21649      0.472069E-02  0.103764E-02   2.08351      0.693396      0.693102      0.523388      0.173624       0.00000       0.00000    
  0.109648E-03   4.97987      0.863172       1.20470      0.858113       1.20358      0.505806E-02  0.112360E-02   2.06169      0.685958      0.685640      0.517936      0.172155       0.00000       0.00000    
  0.120226E-03   5.04458      0.854449       1.19174      0.849014       1.19052      0.543510E-02  0.122161E-02   2.03953      0.678468      0.678123      0.512395      0.170546       0.00000       0.00000    
  0.131825E-03   5.10470      0.845676       1.17873      0.839845       1.17741      0.583054E-02  0.132534E-02   2.01725      0.670960      0.670588      0.506822      0.168885       0.00000       0.00000    
  0.144543E-03   5.15825      0.836829       1.16567      0.830576       1.16423      0.625231E-02  0.143726E-02   1.99480      0.663429      0.663026      0.501203      0.167147       0.00000       0.00000    
  0.158489E-03   5.20334      0.827904       1.15253      0.821189       1.15097      0.671478E-02  0.156212E-02   1.97216      0.655873      0.655436      0.495530      0.165316       0.00000       0.00000    
  0.173779E-03   5.24441      0.818946       1.13936      0.811748       1.13767      0.719868E-02  0.169388E-02   1.94942      0.648307      0.647835      0.489833      0.163441       0.00000       0.00000    
  0.190545E-03   5.27792      0.809936       1.12615      0.802210       1.12431      0.772631E-02  0.183989E-02   1.92652      0.640725      0.640216      0.484092      0.161484       0.00000       0.00000    
  0.208928E-03   5.30587      0.800901       1.11291      0.792608       1.11091      0.829267E-02  0.199881E-02   1.90352      0.633138      0.632586      0.478324      0.159470       0.00000       0.00000    
  0.229085E-03   5.33022      0.791849       1.09965      0.782965       1.09749      0.888437E-02  0.216619E-02   1.88045      0.625546      0.624950      0.472537      0.157419       0.00000       0.00000    
  0.251186E-03   5.34644      0.782784       1.08638      0.773240       1.08402      0.954418E-02  0.235683E-02   1.85726      0.617952      0.617307      0.466714      0.155288       0.00000       0.00000    
