   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   4.43514      0.906221       1.39201      0.901074       1.39069      0.514636E-02  0.131901E-02   2.29177      0.780235      0.779958      0.610819      0.120839       0.00000       0.00000      0.610734    
  0.109648E-03   4.55595      0.895564       1.37371      0.890065       1.37230      0.549961E-02  0.141418E-02   2.26236      0.770057      0.769757      0.602627      0.120007       0.00000       0.00000      0.602540    
  0.120226E-03   4.66177      0.884892       1.35543      0.878999       1.35391      0.589321E-02  0.152165E-02   2.23291      0.759905      0.759579      0.594423      0.119094       0.00000       0.00000      0.594335    
  0.131825E-03   4.76174      0.874225       1.33718      0.867919       1.33554      0.630549E-02  0.163492E-02   2.20346      0.749768      0.749414      0.586219      0.118152       0.00000       0.00000      0.586129    
  0.144543E-03   4.85336      0.863566       1.31895      0.856821       1.31720      0.674450E-02  0.175653E-02   2.17402      0.739653      0.739270      0.578016      0.117168       0.00000       0.00000      0.577925    
  0.158489E-03   4.93414      0.852939       1.30079      0.845714       1.29890      0.722479E-02  0.189125E-02   2.14461      0.729579      0.729163      0.569825      0.116136       0.00000       0.00000      0.569732    
  0.173779E-03   5.00973      0.842334       1.28266      0.834608       1.28062      0.772679E-02  0.203297E-02   2.11523      0.719527      0.719077      0.561641      0.115081       0.00000       0.00000      0.561547    
  0.190545E-03   5.07556      0.831781       1.26461      0.823508       1.26242      0.827306E-02  0.218909E-02   2.08592      0.709522      0.709035      0.553476      0.113987       0.00000       0.00000      0.553382    
  0.208928E-03   5.13413      0.821285       1.24663      0.812427       1.24427      0.885850E-02  0.235824E-02   2.05670      0.699560      0.699032      0.545334      0.112866       0.00000       0.00000      0.545238    
  0.229085E-03   5.18802      0.810826       1.22870      0.801356       1.22617      0.946956E-02  0.253593E-02   2.02752      0.689627      0.689056      0.537205      0.111729       0.00000       0.00000      0.537109    
  0.251186E-03   5.23122      0.800478       1.21091      0.790329       1.20817      0.101494E-01  0.273705E-02   1.99850      0.679770      0.679151      0.529120      0.110558       0.00000       0.00000      0.529023    
