   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   33.1478       3.00916       4.00704       2.99958       4.00385      0.957520E-02  0.319134E-02   7.00343       1.81179       1.81131       1.64996       1.18779      0.542751       0.00000       1.64978    
  0.109648E-03   32.4095       2.94154       3.91735       2.93137       3.91395      0.101751E-01  0.339672E-02   6.84532       1.77315       1.77263       1.61322       1.15822      0.528275       0.00000       1.61305    
  0.120226E-03   31.6792       2.87529       3.82941       2.86446       3.82578      0.108367E-01  0.362519E-02   6.69024       1.73521       1.73465       1.57716       1.12924      0.514151       0.00000       1.57698    
  0.131825E-03   30.9525       2.80964       3.74221       2.79811       3.73835      0.115266E-01  0.386438E-02   6.53646       1.69758       1.69697       1.54138       1.10053      0.500175       0.00000       1.54120    
  0.144543E-03   30.2312       2.74482       3.65609       2.73256       3.65197      0.122570E-01  0.411894E-02   6.38453       1.66038       1.65973       1.50602       1.07218      0.486411       0.00000       1.50583    
  0.158489E-03   29.5181       2.68121       3.57148       2.66816       3.56708      0.130491E-01  0.439729E-02   6.23524       1.62379       1.62309       1.47124       1.04436      0.472942       0.00000       1.47105    
  0.173779E-03   28.8092       2.61820       3.48763       2.60432       3.48295      0.138735E-01  0.468820E-02   6.08727       1.58751       1.58675       1.43676       1.01681      0.459621       0.00000       1.43657    
  0.190545E-03   28.1089       2.55638       3.40528       2.54161       3.40027      0.147634E-01  0.500476E-02   5.94189       1.55184       1.55102       1.40285      0.989773      0.446585       0.00000       1.40267    
  0.208928E-03   27.4159       2.49552       3.32412       2.47981       3.31878      0.157105E-01  0.534413E-02   5.79859       1.51666       1.51577       1.36941      0.963156      0.433778       0.00000       1.36923    
  0.229085E-03   26.7276       2.43529       3.24374       2.41860       3.23805      0.166949E-01  0.569842E-02   5.65664       1.48179       1.48083       1.33628      0.936812      0.421118       0.00000       1.33609    
  0.251186E-03   26.0515       2.37661       3.16528       2.35883       3.15919      0.177787E-01  0.609297E-02   5.51802       1.44770       1.44667       1.30389      0.911137      0.408817       0.00000       1.30370    
  0.275420E-03   25.3809       2.31862       3.08766       2.29971       3.08116      0.189102E-01  0.650726E-02   5.38086       1.41395       1.41284       1.27183      0.885758      0.396672       0.00000       1.27164    
  0.301992E-03   24.7178       2.26154       3.01118       2.24144       3.00423      0.201060E-01  0.694808E-02   5.24567       1.38066       1.37947       1.24021      0.860777      0.384738       0.00000       1.24003    
  0.331127E-03   24.0661       2.20582       2.93635       2.18442       2.92892      0.214043E-01  0.743198E-02   5.11334       1.34804       1.34676       1.20924      0.836375      0.373106       0.00000       1.20906    
  0.363073E-03   23.4199       2.15077       2.86233       2.12801       2.85439      0.227551E-01  0.793829E-02   4.98240       1.31576       1.31437       1.17858      0.812255      0.361622       0.00000       1.17840    
  0.398101E-03   22.7846       2.09697       2.78984       2.07276       2.78135      0.242103E-01  0.848930E-02   4.85411       1.28409       1.28260       1.14851      0.788673      0.350416       0.00000       1.14834    
  0.436509E-03   22.1584       2.04423       2.71863       2.01847       2.70955      0.257605E-01  0.908190E-02   4.72802       1.25294       1.25133       1.11895      0.765538      0.339438       0.00000       1.11878    
  0.478622E-03   21.5382       1.99217       2.64822       1.96480       2.63852      0.273717E-01  0.970118E-02   4.60332       1.22211       1.22039       1.08969      0.742684      0.328607       0.00000       1.08953    
  0.524798E-03   20.9322       1.94171       2.57975       1.91257       2.56935      0.291410E-01  0.103910E-01   4.48192       1.19206       1.19021       1.06119      0.720504      0.318118       0.00000       1.06103    
  0.575429E-03   20.3329       1.89199       2.51215       1.86100       2.50103      0.309902E-01  0.111172E-01   4.36203       1.16237       1.16038       1.03303      0.698631      0.307784       0.00000       1.03287    
  0.630945E-03   19.7420       1.84322       2.44567       1.81027       2.43378      0.329404E-01  0.118894E-01   4.24405       1.13313       1.13099       1.00529      0.677146      0.297648       0.00000       1.00514    
  0.691816E-03   19.1642       1.79586       2.38087       1.76081       2.36813      0.350585E-01  0.127396E-01   4.12894       1.10456       1.10226      0.978212      0.656246      0.287806       0.00000      0.978067    
  0.758561E-03   18.5925       1.74919       2.31687       1.71193       2.30324      0.372615E-01  0.136299E-01   4.01517       1.07631       1.07384      0.951436      0.635623      0.278103       0.00000      0.951298    
  0.831745E-03   18.0326       1.70380       2.25436       1.66417       2.23976      0.396285E-01  0.145981E-01   3.90393       1.04865       1.04600      0.925231      0.615513      0.268658       0.00000      0.925101    
  0.911989E-03   17.4829       1.65950       2.19312       1.61735       2.17748      0.421513E-01  0.156419E-01   3.79483       1.02151       1.01866      0.899515      0.595844      0.259433       0.00000      0.899392    
  0.999975E-03   16.9395       1.61589       2.13268       1.57112       2.11595      0.447718E-01  0.167333E-01   3.68707      0.994671      0.991618      0.874100      0.576447      0.250344       0.00000      0.873986    
  0.109645E-02   16.4110       1.57388       2.07408       1.52624       2.05613      0.476401E-01  0.179477E-01   3.58237      0.968561      0.965284      0.849383      0.557680      0.241569       0.00000      0.849279    
  0.120223E-02   15.8898       1.53265       2.01636       1.48201       1.99713      0.506396E-01  0.192287E-01   3.47914      0.942797      0.939283      0.824998      0.539212      0.232943       0.00000      0.824904    
  0.131822E-02   15.3771       1.49234       1.95968       1.43854       1.93909      0.537946E-01  0.205888E-01   3.37763      0.917442      0.913678      0.801006      0.521099      0.224493       0.00000      0.800923    
  0.144540E-02   14.8780       1.45348       1.90465       1.39626       1.88256      0.572194E-01  0.220891E-01   3.27882      0.892722      0.888686      0.777625      0.503539      0.216318       0.00000      0.777554    
  0.158485E-02   14.3853       1.41531       1.85037       1.35453       1.82671      0.607780E-01  0.236601E-01   3.18124      0.868296      0.863975      0.754527      0.486234      0.208270       0.00000      0.754467    
  0.173775E-02   13.9043       1.37838       1.79749       1.31379       1.77212      0.645885E-01  0.253652E-01   3.08591      0.844402      0.839775      0.731940      0.469393      0.200452       0.00000      0.731893    
