   6464.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   78.3054       6.37193       9.08202       6.35774       9.07684      0.141982E-01  0.517885E-02   15.4346       3.47670       3.47596       3.32080       2.88104       2.28029       0.00000       3.32060    
  0.109648E-03   75.5604       6.17637       8.79957       6.16132       8.79407      0.150443E-01  0.549901E-02   14.9554       3.37407       3.37327       3.22001       2.78725       2.20099       0.00000       3.21981    
  0.120226E-03   72.9301       5.98803       8.52763       5.97206       8.52178      0.159721E-01  0.585294E-02   14.4938       3.27506       3.27421       3.12282       2.69699       2.12496       0.00000       3.12261    
  0.131825E-03   70.3461       5.80264       8.25995       5.78570       8.25373      0.169369E-01  0.622241E-02   14.0394       3.17754       3.17662       3.02709       2.60817       2.05023       0.00000       3.02688    
  0.144543E-03   67.8283       5.62147       7.99839       5.60351       7.99177      0.179549E-01  0.661413E-02   13.5953       3.08212       3.08114       2.93345       2.52139       1.97740       0.00000       2.93324    
  0.158489E-03   65.3996       5.44601       7.74509       5.42696       7.73805      0.190531E-01  0.704000E-02   13.1650       2.98957       2.98851       2.84265       2.43739       1.90709       0.00000       2.84244    
  0.173779E-03   63.0144       5.27336       7.49582       5.25317       7.48834      0.201932E-01  0.748378E-02   12.7415       2.89843       2.89729       2.75324       2.35474       1.83802       0.00000       2.75303    
  0.190545E-03   60.7125       5.10610       7.25432       5.08468       7.24636      0.214178E-01  0.796399E-02   12.3310       2.80997       2.80875       2.66649       2.27471       1.77133       0.00000       2.66628    
  0.208928E-03   58.4746       4.94301       7.01882       4.92030       7.01035      0.227156E-01  0.847627E-02   11.9306       2.72360       2.72229       2.58181       2.19669       1.70645       0.00000       2.58161    
  0.229085E-03   56.2782       4.78264       6.78722       4.75858       6.77821      0.240612E-01  0.900950E-02   11.5368       2.63859       2.63718       2.49848       2.11999       1.64276       0.00000       2.49827    
  0.251186E-03   54.1796       4.62870       6.56484       4.60317       6.55524      0.255328E-01  0.959874E-02   11.1584       2.55678       2.55527       2.41831       2.04639       1.58185       0.00000       2.41811    
  0.275420E-03   52.1225       4.47751       6.34638       4.45045       6.33616      0.270646E-01  0.102151E-01   10.7866       2.47634       2.47472       2.33951       1.97410       1.52213       0.00000       2.33931    
  0.301992E-03   50.1210       4.33001       6.13319       4.30134       6.12232      0.286771E-01  0.108680E-01   10.4237       2.39774       2.39601       2.26252       1.90360       1.46399       0.00000       2.26232    
  0.331127E-03   48.1975       4.18773       5.92743       4.15732       5.91585      0.304172E-01  0.115794E-01   10.0732       2.32173       2.31987       2.18809       1.83559       1.40808       0.00000       2.18790    
  0.363073E-03   46.3112       4.04795       5.72522       4.01573       5.71290      0.322226E-01  0.123211E-01   9.72862       2.24695       2.24496       2.11489       1.76878       1.35323       0.00000       2.11471    
  0.398101E-03   44.4947       3.91288       5.52969       3.87872       5.51656      0.341567E-01  0.131229E-01   9.39528       2.17451       2.17237       2.04400       1.70421       1.30037       0.00000       2.04382    
  0.436509E-03   42.7341       3.78161       5.33953       3.74540       5.32555      0.362069E-01  0.139799E-01   9.07095       2.10394       2.10166       1.97497       1.64146       1.24910       0.00000       1.97479    
  0.478622E-03   41.0088       3.65274       5.15278       3.61441       5.13791      0.383316E-01  0.148722E-01   8.75232       2.03456       2.03212       1.90711       1.57985       1.19885       0.00000       1.90694    
  0.524798E-03   39.3651       3.52948       4.97392       3.48883       4.95806      0.406475E-01  0.158570E-01   8.44689       1.96793       1.96532       1.84197       1.52090       1.15093       0.00000       1.84181    
  0.575429E-03   37.7577       3.40873       4.79858       3.36567       4.78169      0.430591E-01  0.168889E-01   8.14736       1.90253       1.89974       1.77806       1.46313       1.10404       0.00000       1.77791    
  0.630945E-03   36.1960       3.29114       4.62769       3.24555       4.60971      0.455915E-01  0.179802E-01   7.85525       1.83869       1.83571       1.71568       1.40686       1.05846       0.00000       1.71554    
  0.691816E-03   34.7012       3.17822       4.46332       3.12990       4.44415      0.483227E-01  0.191712E-01   7.57405       1.77712       1.77393       1.65555       1.35278       1.01480       0.00000       1.65542    
  0.758561E-03   33.2375       3.06750       4.30201       3.01634       4.28160      0.511536E-01  0.204128E-01   7.29794       1.71662       1.71322       1.59648       1.29972      0.972022       0.00000       1.59636    
  0.831745E-03   31.8310       2.96081       4.14632       2.90663       4.12457      0.541765E-01  0.217525E-01   7.03120       1.65808       1.65445       1.53935       1.24855      0.930887       0.00000       1.53924    
  0.911989E-03   30.4724       2.85753       3.99535       2.80015       3.97217      0.573796E-01  0.231861E-01   6.77231       1.60119       1.59731       1.48384       1.19896      0.891120       0.00000       1.48374    
  0.999975E-03   29.1432       2.75634       3.84729       2.69565       3.82261      0.606954E-01  0.246785E-01   6.51826       1.54530       1.54117       1.42934       1.15035      0.852196       0.00000       1.42925    
  0.109645E-02   27.8808       2.65996       3.70585       2.59567       3.67953      0.642942E-01  0.263213E-01   6.27520       1.49172       1.48731       1.37711       1.10395      0.815185       0.00000       1.37704    
  0.120223E-02   26.6494       2.56584       3.56751       2.49780       3.53947      0.680410E-01  0.280444E-01   6.03726       1.43922       1.43451       1.32595       1.05858      0.779064       0.00000       1.32589    
  0.131822E-02   25.4548       2.47439       3.43284       2.40243       3.40298      0.719632E-01  0.298626E-01   5.80541       1.38799       1.38298       1.27605       1.01444      0.744000       0.00000       1.27600    
