   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.229079E-02   19.4649       2.02718       2.76743       1.92535       2.72309      0.101837      0.443315E-01   4.64844       1.12824       1.12090       1.02414      0.797107      0.578012       0.00000       1.02419    
  0.251180E-02   18.5162       1.95388       2.65690       1.84631       2.60970      0.107575      0.472014E-01   4.45601       1.08536       1.07756      0.982483      0.760951      0.549591       0.00000      0.982549    
  0.275413E-02   17.5979       1.88292       2.54950       1.76936       2.49929      0.113555      0.502185E-01   4.26865       1.04354       1.03527      0.941878      0.725821      0.522052       0.00000      0.941961    
  0.301984E-02   16.7278       1.81570       2.44710       1.69574       2.39360      0.119964      0.535015E-01   4.08933       1.00341      0.994638      0.902946      0.692325      0.495913       0.00000      0.903048    
  0.331118E-02   15.8791       1.75017       2.34694       1.62359       2.29002      0.126578      0.569140E-01   3.91361      0.964034      0.954740      0.864761      0.659558      0.470400       0.00000      0.864881    
  0.363064E-02   15.0683       1.68763       2.25073       1.55407       2.19016      0.133565      0.605638E-01   3.74423      0.925987      0.916143      0.827893      0.628080      0.445990       0.00000      0.828032    
  0.398091E-02   14.2916       1.62783       2.15812       1.48691       2.09367      0.140923      0.644559E-01   3.58057      0.889140      0.878718      0.792216      0.597767      0.422576       0.00000      0.792373    
  0.436498E-02   13.5349       1.56964       2.06763       1.42113       1.99914      0.148503      0.684935E-01   3.42027      0.852995      0.841978      0.757237      0.568137      0.399747       0.00000      0.757412    
  0.478610E-02   12.8220       1.51499       1.98179       1.35839       1.90891      0.156605      0.728807E-01   3.26729      0.818385      0.806734      0.723783      0.540003      0.378196       0.00000      0.723976    
  0.524785E-02   12.1312       1.46218       1.89833       1.29719       1.82086      0.164997      0.774671E-01   3.11805      0.784555      0.772250      0.691105      0.512631      0.357297       0.00000      0.691316    
  0.575415E-02   11.4637       1.41130       1.81737       1.23760       1.73511      0.173692      0.822625E-01   2.97271      0.751543      0.738561      0.659241      0.486060      0.337080       0.00000      0.659470    
  0.630929E-02   10.8347       1.36364       1.74061       1.18071       1.65316      0.182934      0.874443E-01   2.83387      0.719885      0.706189      0.628729      0.460821      0.317999       0.00000      0.628976    
  0.691799E-02   10.2225       1.31741       1.66568       1.12498       1.57287      0.192426      0.928078E-01   2.69785      0.688817      0.674390      0.598808      0.436163      0.299413       0.00000      0.599071    
  0.758542E-02   9.63939       1.27364       1.59395       1.07128       1.49545      0.202362      0.984936E-01   2.56674      0.658768      0.643582      0.569908      0.412513      0.281686       0.00000      0.570186    
  0.831724E-02   9.08347       1.23223       1.52524       1.01949       1.42073      0.212740      0.104512       2.44022      0.629676      0.613703      0.541969      0.389814      0.264767       0.00000      0.542262    
  0.911966E-02   8.54135       1.19203       1.45810      0.968669       1.34738      0.223365      0.110717       2.31605      0.601069      0.584296      0.514519      0.367600      0.248259       0.00000      0.514827    
  0.999950E-02   8.01694       1.15362       1.39312      0.919134       1.27583      0.234484      0.117298       2.19496      0.573102      0.555498      0.487716      0.346032      0.232292       0.00000      0.488037    
  0.109642E-01   7.51517       1.11705       1.33061      0.871167       1.20650      0.245887      0.124107       2.07767      0.545919      0.527471      0.461706      0.325248      0.216995       0.00000      0.462039    
  0.120220E-01   7.04779       1.08339       1.27191      0.825598       1.14059      0.257787      0.131319       1.96619      0.519930      0.500617      0.436912      0.305667      0.202722       0.00000      0.437256    
  0.131819E-01   6.60224       1.05166       1.21575      0.781581       1.07689      0.270083      0.138859       1.85847      0.494712      0.474518      0.412906      0.286870      0.189111       0.00000      0.413260    
  0.144536E-01   6.17753       1.02181       1.16202      0.739055       1.01530      0.282754      0.146721       1.75436      0.470228      0.449145      0.389660      0.268826      0.176133       0.00000      0.390022    
  0.158481E-01   5.77151      0.993626       1.11050      0.697871      0.955626      0.295755      0.154872       1.65350      0.446406      0.424428      0.367102      0.251465      0.163728       0.00000      0.367470    
  0.173770E-01   5.38357      0.967062       1.06113      0.657996      0.897823      0.309066      0.163302       1.55582      0.423227      0.400353      0.345217      0.234769      0.151880       0.00000      0.345590    
  0.190535E-01   5.01477      0.942204       1.01405      0.619519      0.842024      0.322685      0.172022       1.46154      0.400732      0.376968      0.324054      0.218787      0.140625       0.00000      0.324430    
  0.208917E-01   4.66401      0.918940      0.969139      0.582371      0.788141      0.336569      0.180998       1.37051      0.378887      0.354246      0.303584      0.203484      0.129934       0.00000      0.303961    
  0.229073E-01   4.32952      0.897095      0.926202      0.546435      0.736014      0.350660      0.190188       1.28245      0.357631      0.332133      0.283750      0.188804      0.119754       0.00000      0.284127    
  0.251174E-01   4.01078      0.876602      0.885175      0.511687      0.685617      0.364915      0.199558       1.19730      0.336953      0.310624      0.264545      0.174734      0.110073       0.00000      0.264920    
  0.275406E-01   3.70880      0.857514      0.846182      0.478222      0.637104      0.379292      0.209078       1.11533      0.316899      0.289778      0.246026      0.161323      0.100928       0.00000      0.246398    
  0.301976E-01   3.42246      0.839690      0.809076      0.445972      0.590391      0.393718      0.218686       1.03636      0.297433      0.269573      0.228165      0.148539      0.922860E-01   0.00000      0.228532    
  0.331110E-01   3.15031      0.822967      0.773670      0.414846      0.545356      0.408121      0.228314      0.960202      0.278514      0.249971      0.210921      0.136332      0.841048E-01   0.00000      0.211280    
  0.363055E-01   2.89192      0.807259      0.739890      0.384830      0.501994      0.422429      0.237896      0.886824      0.260134      0.230977      0.194293      0.124696      0.763736E-01   0.00000      0.194643    
  0.398081E-01   2.64830      0.792563      0.707817      0.356031      0.460488      0.436532      0.247329      0.816519      0.242347      0.212669      0.178351      0.113683      0.691288E-01   0.00000      0.178691    
  0.436487E-01   2.41830      0.778715      0.677272      0.328383      0.420758      0.450332      0.256514      0.749141      0.225125      0.195025      0.163069      0.103258      0.623361E-01   0.00000      0.163397    
  0.478598E-01   2.20078      0.765557      0.648070      0.301816      0.382716      0.463741      0.265354      0.684532      0.208435      0.178025      0.148417      0.933811E-01  0.559602E-01   0.00000      0.148731    
