   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   1.02654      0.608250       1.10193      0.604074       1.10103      0.417588E-02  0.904814E-03   1.70510      0.636380      0.636136      0.464937      -.323056E-01   0.00000       0.00000      0.464890    
  0.109648E-03   1.19230      0.602677       1.08870      0.598203       1.08772      0.447382E-02  0.975753E-03   1.68593      0.628735      0.628472      0.459299      -.305320E-01   0.00000       0.00000      0.459250    
  0.120226E-03   1.34480      0.597135       1.07554      0.592328       1.07448      0.480713E-02  0.105660E-02   1.66681      0.621142      0.620856      0.453673      -.288138E-01   0.00000       0.00000      0.453623    
  0.131825E-03   1.49211      0.591611       1.06241      0.586454       1.06127      0.515687E-02  0.114216E-02   1.64772      0.613571      0.613261      0.448055      -.271171E-01   0.00000       0.00000      0.448005    
  0.144543E-03   1.63200      0.586113       1.04933      0.580582       1.04810      0.553015E-02  0.123448E-02   1.62868      0.606033      0.605698      0.442449      -.254511E-01   0.00000       0.00000      0.442397    
  0.158489E-03   1.76220      0.580661       1.03633      0.574721       1.03499      0.593988E-02  0.133753E-02   1.60971      0.598546      0.598181      0.436862      -.238248E-01   0.00000       0.00000      0.436810    
  0.173779E-03   1.88775      0.575235       1.02337      0.568866       1.02192      0.636883E-02  0.144633E-02   1.59079      0.591083      0.590689      0.431287      -.222176E-01   0.00000       0.00000      0.431234    
  0.190545E-03   2.00451      0.569863       1.01049      0.563026       1.00892      0.683705E-02  0.156700E-02   1.57195      0.583672      0.583244      0.425734      -.206463E-01   0.00000       0.00000      0.425680    
  0.208928E-03   2.11470      0.564542      0.997686      0.557202      0.995988      0.734013E-02  0.169848E-02   1.55319      0.576303      0.575840      0.420202      -.191019E-01   0.00000       0.00000      0.420148    
  0.229085E-03   2.22064      0.559254      0.984927      0.551388      0.983090      0.786604E-02  0.183706E-02   1.53448      0.568963      0.568461      0.414684      -.175748E-01   0.00000       0.00000      0.414629    
  0.251186E-03   2.31683      0.554058      0.972290      0.545604      0.970295      0.845343E-02  0.199524E-02   1.51590      0.561692      0.561148      0.409202      -.160879E-01   0.00000       0.00000      0.409147    
  0.275420E-03   2.40901      0.548907      0.959709      0.539836      0.957546      0.907091E-02  0.216326E-02   1.49738      0.554454      0.553864      0.403737      -.146176E-01   0.00000       0.00000      0.403682    
  0.301992E-03   2.49579      0.543817      0.947204      0.534088      0.944859      0.972884E-02  0.234454E-02   1.47895      0.547258      0.546619      0.398296      -.131698E-01   0.00000       0.00000      0.398240    
  0.331127E-03   2.57521      0.538825      0.934815      0.528373      0.932267      0.104523E-01  0.254788E-02   1.46064      0.540126      0.539433      0.392890      -.117531E-01   0.00000       0.00000      0.392834    
  0.363073E-03   2.65118      0.533883      0.922484      0.522674      0.919721      0.112098E-01  0.276288E-02   1.44239      0.533025      0.532276      0.387501      -.103514E-01   0.00000       0.00000      0.387445    
  0.398101E-03   2.72074      0.529042      0.910265      0.517007      0.907264      0.120353E-01  0.300138E-02   1.42427      0.525984      0.525173      0.382147      -.897754E-02   0.00000       0.00000      0.382091    
  0.436509E-03   2.78530      0.524291      0.898144      0.511368      0.894882      0.129237E-01  0.326231E-02   1.40625      0.518994      0.518115      0.376823      -.762625E-02   0.00000       0.00000      0.376767    
  0.478622E-03   2.84671      0.519599      0.886085      0.505747      0.882547      0.138525E-01  0.353767E-02   1.38829      0.512036      0.511085      0.371517      -.628924E-02   0.00000       0.00000      0.371462    
  0.524798E-03   2.90100      0.515057      0.874178      0.500169      0.870326      0.148879E-01  0.385208E-02   1.37049      0.505155      0.504124      0.366257      -.498577E-02   0.00000       0.00000      0.366202    
  0.575429E-03   2.95222      0.510589      0.862344      0.494611      0.858157      0.159782E-01  0.418719E-02   1.35277      0.498309      0.497193      0.361017      -.369762E-02   0.00000       0.00000      0.360963    
  0.630945E-03   2.99954      0.506217      0.850602      0.489079      0.846053      0.171378E-01  0.454842E-02   1.33513      0.491508      0.490302      0.355805      -.242881E-02   0.00000       0.00000      0.355751    
  0.691816E-03   3.04134      0.501999      0.839003      0.483585      0.834047      0.184147E-01  0.495522E-02   1.31763      0.484774      0.483467      0.350632      -.118935E-02   0.00000       0.00000      0.350580    
  0.758561E-03   3.08058      0.497860      0.827473      0.478108      0.822087      0.197517E-01  0.538578E-02   1.30020      0.478072      0.476659      0.345479      0.360206E-04   0.00000       0.00000      0.345428    
  0.831745E-03   3.11520      0.493870      0.816075      0.472664      0.810212      0.212055E-01  0.586304E-02   1.28288      0.471429      0.469901      0.340361      0.123498E-02   0.00000       0.00000      0.340311    
  0.911989E-03   3.14604      0.490020      0.804794      0.467248      0.798407      0.227723E-01  0.638689E-02   1.26565      0.464837      0.463182      0.335273      0.241062E-02   0.00000       0.00000      0.335225    
  0.999975E-03   3.17457      0.486258      0.793585      0.461848      0.786645      0.244103E-01  0.694015E-02   1.24849      0.458276      0.456489      0.330203      0.357175E-02   0.00000       0.00000      0.330156    
  0.109645E-02   3.19795      0.482716      0.782551      0.456484      0.774980      0.262318E-01  0.757129E-02   1.23146      0.451786      0.449850      0.325174      0.469803E-02   0.00000       0.00000      0.325130    
  0.120223E-02   3.21899      0.479288      0.771604      0.451136      0.763358      0.281524E-01  0.824579E-02   1.21449      0.445329      0.443236      0.320164      0.580684E-02   0.00000       0.00000      0.320122    
  0.131822E-02   3.23726      0.475997      0.760759      0.445806      0.751788      0.301906E-01  0.897173E-02   1.19759      0.438911      0.436651      0.315177      0.689493E-02   0.00000       0.00000      0.315137    
  0.144540E-02   3.25138      0.472939      0.750083      0.440502      0.740291      0.324369E-01  0.979150E-02   1.18079      0.432553      0.430107      0.310222      0.794873E-02   0.00000       0.00000      0.310185    
  0.158485E-02   3.26364      0.469996      0.739486      0.435208      0.728827      0.347880E-01  0.106595E-01   1.16403      0.426222      0.423580      0.305281      0.898595E-02   0.00000       0.00000      0.305247    
  0.173775E-02   3.27257      0.467268      0.729037      0.429931      0.717418      0.373377E-01  0.116199E-01   1.14735      0.419938      0.417083      0.300366      0.999237E-02   0.00000       0.00000      0.300334    
  0.190540E-02   3.27867      0.464752      0.718727      0.424665      0.706050      0.400877E-01  0.126764E-01   1.13072      0.413695      0.410609      0.295470      0.109694E-01   0.00000       0.00000      0.295442    
  0.208923E-02   3.28306      0.462366      0.708500      0.419405      0.694708      0.429611E-01  0.137924E-01   1.11411      0.407476      0.404147      0.290585      0.119285E-01   0.00000       0.00000      0.290561    
  0.229079E-02   3.28372      0.460298      0.698473      0.414152      0.683411      0.461455E-01  0.150624E-01   1.09756      0.401308      0.397708      0.285723      0.128442E-01   0.00000       0.00000      0.285703    
  0.251180E-02   3.28259      0.458405      0.688552      0.408900      0.672130      0.495056E-01  0.164221E-01   1.08103      0.395163      0.391277      0.280870      0.137365E-01   0.00000       0.00000      0.280853    
  0.275413E-02   3.27946      0.456708      0.678747      0.403646      0.660865      0.530616E-01  0.178819E-01   1.06451      0.389044      0.384853      0.276025      0.146026E-01   0.00000       0.00000      0.276013    
  0.301984E-02   3.27319      0.455362      0.669146      0.398383      0.649614      0.569788E-01  0.195322E-01   1.04800      0.382961      0.378432      0.271190      0.154227E-01   0.00000       0.00000      0.271182    
  0.331118E-02   3.26553      0.454187      0.659642      0.393112      0.638363      0.610746E-01  0.212790E-01   1.03148      0.376892      0.372010      0.266357      0.162206E-01   0.00000       0.00000      0.266353    
  0.363064E-02   3.25541      0.453325      0.650313      0.387825      0.627108      0.654999E-01  0.232053E-01   1.01493      0.370847      0.365582      0.261526      0.169781E-01   0.00000       0.00000      0.261527    
  0.398091E-02   3.24308      0.452783      0.641159      0.382514      0.615834      0.702697E-01  0.253256E-01  0.998347      0.364819      0.359138      0.256690      0.176949E-01   0.00000       0.00000      0.256696    
  0.436498E-02   3.22945      0.452434      0.632110      0.377187      0.604546      0.752477E-01  0.275640E-01  0.981732      0.358799      0.352684      0.251851      0.183874E-01   0.00000       0.00000      0.251862    
  0.478610E-02   3.21296      0.452550      0.623308      0.371814      0.593209      0.807357E-01  0.300993E-01  0.965023      0.352792      0.346196      0.246997      0.190218E-01   0.00000       0.00000      0.247013    
  0.524785E-02   3.19500      0.452933      0.614648      0.366409      0.581833      0.865231E-01  0.328149E-01  0.948242      0.346786      0.339682      0.242130      0.196233E-01   0.00000       0.00000      0.242151    
  0.575415E-02   3.17549      0.453596      0.606135      0.360972      0.570416      0.926245E-01  0.357196E-01  0.931387      0.340781      0.333141      0.237249      0.201903E-01   0.00000       0.00000      0.237275    
  0.630929E-02   3.15336      0.454787      0.597898      0.355461      0.558900      0.993257E-01  0.389980E-01  0.914361      0.334767      0.326536      0.232332      0.206935E-01   0.00000       0.00000      0.232364    
  0.691799E-02   3.13005      0.456228      0.589792      0.349912      0.547330      0.106317      0.424617E-01  0.897242      0.328745      0.319896      0.227397      0.211667E-01   0.00000       0.00000      0.227434    
  0.758542E-02   3.10469      0.458119      0.581920      0.344292      0.535660      0.113827      0.462604E-01  0.879952      0.322706      0.313193      0.222424      0.215865E-01   0.00000       0.00000      0.222467    
  0.831724E-02   3.07730      0.460484      0.574298      0.338589      0.523866      0.121895      0.504324E-01  0.862455      0.316638      0.306412      0.217406      0.219507E-01   0.00000       0.00000      0.217454    
  0.911966E-02   3.04874      0.463127      0.566823      0.332836      0.511998      0.130291      0.548255E-01  0.844834      0.310553      0.299585      0.212360      0.222829E-01   0.00000       0.00000      0.212413    
  0.999950E-02   3.01763      0.466412      0.559685      0.326963      0.499939      0.139450      0.597463E-01  0.826901      0.304417      0.292639      0.207242      0.225457E-01   0.00000       0.00000      0.207300    
  0.109642E-01   2.98533      0.469993      0.552711      0.321027      0.487788      0.148967      0.649231E-01  0.808815      0.298254      0.285636      0.202089      0.227725E-01   0.00000       0.00000      0.202152    
  0.120220E-01   2.95078      0.474146      0.546055      0.314968      0.475453      0.159177      0.706022E-01  0.790421      0.292036      0.278518      0.196866      0.229323E-01   0.00000       0.00000      0.196935    
  0.131819E-01   2.91418      0.478829      0.539698      0.308790      0.462931      0.170040      0.767667E-01  0.771721      0.285757      0.271286      0.191572      0.230326E-01   0.00000       0.00000      0.191646    
  0.144536E-01   2.87549      0.484055      0.533654      0.302482      0.450210      0.181573      0.834434E-01  0.752693      0.279410      0.263930      0.186202      0.230727E-01   0.00000       0.00000      0.186280    
  0.158481E-01   2.83479      0.489798      0.527915      0.296047      0.437291      0.193751      0.906246E-01  0.733338      0.272991      0.256453      0.180756      0.230559E-01   0.00000       0.00000      0.180838    
  0.173770E-01   2.79201      0.496067      0.522497      0.289475      0.424160      0.206592      0.983371E-01  0.713634      0.266493      0.248846      0.175228      0.229812E-01   0.00000       0.00000      0.175314    
  0.190535E-01   2.74683      0.502923      0.517447      0.282742      0.410784      0.220181      0.106664      0.693526      0.259900      0.241088      0.169606      0.228424E-01   0.00000       0.00000      0.169696    
  0.208917E-01   2.69921      0.510361      0.512776      0.275843      0.397156      0.234518      0.115620      0.672999      0.253203      0.233176      0.163887      0.226403E-01   0.00000       0.00000      0.163980    
  0.229073E-01   2.64919      0.518343      0.508472      0.268780      0.383284      0.249563      0.125188      0.652064      0.246401      0.225115      0.158073      0.223786E-01   0.00000       0.00000      0.158169    
  0.251174E-01   2.59667      0.526868      0.504549      0.261544      0.369161      0.265324      0.135389      0.630704      0.239486      0.216900      0.152163      0.220575E-01   0.00000       0.00000      0.152261    
  0.275406E-01   2.54126      0.535985      0.501059      0.254109      0.354754      0.281876      0.146305      0.608863      0.232438      0.208511      0.146143      0.216709E-01   0.00000       0.00000      0.146244    
  0.301976E-01   2.48290      0.545660      0.497998      0.246473      0.340072      0.299187      0.157926      0.586545      0.225251      0.199953      0.140018      0.212219E-01   0.00000       0.00000      0.140120    
  0.331110E-01   2.42167      0.555840      0.495345      0.238642      0.325133      0.317198      0.170211      0.563775      0.217927      0.191237      0.133794      0.207149E-01   0.00000       0.00000      0.133896    
  0.363055E-01   2.35743      0.566502      0.493099      0.230610      0.309943      0.335892      0.183156      0.540553      0.210459      0.182366      0.127474      0.201514E-01   0.00000       0.00000      0.127577    
  0.398081E-01   2.28973      0.577662      0.491298      0.222350      0.294486      0.355312      0.196812      0.516837      0.202823      0.173331      0.121053      0.195270E-01   0.00000       0.00000      0.121155    
  0.436487E-01   2.21862      0.589250      0.489906      0.213870      0.278794      0.375380      0.211112      0.492664      0.195023      0.164150      0.114542      0.188469E-01   0.00000       0.00000      0.114644    
  0.478598E-01   2.14421      0.601194      0.488874      0.205180      0.262903      0.396014      0.225972      0.468082      0.187063      0.154845      0.107958      0.181170E-01   0.00000       0.00000      0.108058    
  0.524772E-01   2.06644      0.613436      0.488167      0.196281      0.246841      0.417156      0.241326      0.443122      0.178940      0.145432      0.101311      0.173401E-01   0.00000       0.00000      0.101409    
  0.575400E-01   1.98491      0.625933      0.487760      0.187153      0.230634      0.438780      0.257127      0.417787      0.170638      0.135925      0.946129E-01  0.165153E-01   0.00000       0.00000      0.947082E-01
  0.630913E-01   1.89984      0.638580      0.487556      0.177817      0.214342      0.460763      0.273213      0.392160      0.162167      0.126362      0.878881E-01  0.156501E-01   0.00000       0.00000      0.879803E-01
  0.691782E-01   1.81149      0.651282      0.487449      0.168295      0.198027      0.482987      0.289422      0.366322      0.153543      0.116778      0.811611E-01  0.147513E-01   0.00000       0.00000      0.812497E-01
