   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   2.84615      0.773162       1.26224      0.768427       1.26110      0.473483E-02  0.114391E-02   2.02952      0.715842      0.715580      0.545586      0.525852E-01   0.00000       0.00000      0.545515    
  0.109648E-03   2.99147      0.764922       1.24635      0.759857       1.24512      0.506467E-02  0.122882E-02   2.00498      0.706869      0.706585      0.538607      0.529881E-01   0.00000       0.00000      0.538535    
  0.120226E-03   3.12239      0.756676       1.23049      0.751244       1.22917      0.543276E-02  0.132500E-02   1.98041      0.697928      0.697619      0.531622      0.533160E-01   0.00000       0.00000      0.531549    
  0.131825E-03   3.24767      0.748437       1.21466      0.742619       1.21323      0.581858E-02  0.142654E-02   1.95585      0.689003      0.688669      0.524639      0.536162E-01   0.00000       0.00000      0.524564    
  0.144543E-03   3.36491      0.740208       1.19886      0.733979       1.19732      0.622978E-02  0.153573E-02   1.93130      0.680102      0.679740      0.517658      0.538767E-01   0.00000       0.00000      0.517582    
  0.158489E-03   3.47166      0.732010       1.18312      0.725330       1.18146      0.668023E-02  0.165703E-02   1.90679      0.671242      0.670849      0.510688      0.540883E-01   0.00000       0.00000      0.510612    
  0.173779E-03   3.57338      0.723832       1.16741      0.716681       1.16563      0.715134E-02  0.178480E-02   1.88231      0.662403      0.661978      0.503726      0.542772E-01   0.00000       0.00000      0.503648    
  0.190545E-03   3.66563      0.715699       1.15178      0.708035       1.14985      0.766461E-02  0.192589E-02   1.85789      0.653610      0.653149      0.496781      0.544245E-01   0.00000       0.00000      0.496702    
  0.208928E-03   3.75082      0.707615       1.13621      0.699400       1.13413      0.821523E-02  0.207908E-02   1.83353      0.644857      0.644357      0.489854      0.545425E-01   0.00000       0.00000      0.489775    
  0.229085E-03   3.83144      0.699563       1.12069      0.690773       1.11845      0.879030E-02  0.224019E-02   1.80922      0.636131      0.635590      0.482940      0.546418E-01   0.00000       0.00000      0.482859    
  0.251186E-03   3.90161      0.691605       1.10529      0.682174       1.10287      0.943109E-02  0.242312E-02   1.78504      0.627474      0.626887      0.476061      0.547004E-01   0.00000       0.00000      0.475980    
  0.275420E-03   3.96750      0.683697       1.08995      0.673593       1.08733      0.101040E-01  0.261696E-02   1.76093      0.618849      0.618214      0.469200      0.547434E-01   0.00000       0.00000      0.469119    
